title,author,date,url,body,attaches
教务处通知,综合科,2003-10-22,https://jwch.fzu.edu.cn/info/1035/7900.htm,通    知10月26日因同等学历研究生入学考试安排在东教学楼和子兴教学楼，东楼和子兴楼从10月25日中午开始封闭，请各学院将此时间安排在东楼、子兴楼的课程自行调整到其它教室上。另，因新校区全体新生10月24日（星期五）上午10:20-12:00（上午3-4节课）需集中听取数学家杨乐的专题报告，因此，新校区学生星期五上午3-4节的相关课程请各学院自行调整（1-2节照常上课）并及时通知到有关教师和学生。教  务  处2003年10月22日,[]
关于2003年12月全省高校计算机等级考试报名的通知,综合科,2003-10-22,https://jwch.fzu.edu.cn/info/1035/10799.htm,"根据省教育厅通知，今年全省高校学生计算机应用水平等级考试于2003年12月20日（星期六）举行。一、考试时间二、三级笔试在老校区，时间为上午9:00～11:30，老校区上机考试从下午开始，新校区上机考试从上午开始。具体地点、场次、时间另行通知。二、考试对象凡未通过等级考试的学生和正在修读一级、二级计算机课程的学生（作期末考试)。三、考试内容一级Win为无纸化考试。二级考试开设VFP、VB、PASCAL和Ｃ语言四种选考语言,其中VFP和VB为无纸化考试。三级考试本次开考偏硬，只考笔试。四、报名办法１、各学院组织有关学生以班级为单位于10月31日前向各院教学办集体报名（考试报名费为32元）。2、各学院负责考务报名的教学干事在学籍管理系统内的选课系统下汇总报名。11月3日至11月5日网上统一报新校区参加无纸化考试的名单，11月6日至10日网上统一报老校区参加考试的名单。请一定在规定时间内操作，逾期不予受理。注意语种、学生信息的正确性。福州大学教务处二ＯＯ三年十月二十二日",[]
有关同意2003级部分学生计算机文化基础课免修的决定,综合科,2003-10-22,https://jwch.fzu.edu.cn/info/1035/7902.htm,有关同意2003级部分学生计算机文化基础课免修的决定根据“关于举办计算机文化基础课免修考试的通知”精神，经10月19日组织考试后，现将达到免修该门课程的学生名单公布，按规定免修计算机文化基础课程，公布的免修考试成绩登入学生成绩档案，并获得该门课程学分。免修名单上的学生可自定方式选择自学二级计算机语言课程，期末可自主报名参加省高校计算机应用水平等级考试的二级相关语言考试，若取得合格证书者，可免修相应的二级语言课程。教 务 处二OO三年十月二十日附名单如下：2003级计算机文化基础免修名单及成绩学号考号姓名专业成绩0103003260113326胡剑杭电气工程与自动化800103006070113607纪锡亮电气工程与自动化750103007040113704叶胡平电气工程与自动化890203002260213226苏建彬机械设计制造及其自动化840203002290213229吴剑波机械设计制造及其自动化780203003310213331余思斌机械设计制造及其自动化840203004180213418赖清晨机械设计制造及其自动化810203004310213431吴鸣军机械设计制造及其自动化780303001080313108赵妤婷信息计算科学与应用数学类830303001840313184黎志勇信息计算科学与应用数学类810303001850313185林毅信息计算科学与应用数学类790303002880313288林滨信息计算科学与应用数学类750403000610413061陆姗制药工程860503004020513402陈坚土木工程880503006040513604陈伟冰土木工程810503006330513633张文波土木工程810603001020613102陈俊刚环境与安全类810603002040613204陈路环境与安全类810603002140613214孔嵘环境与安全类830603002450613245杨杰环境与安全类890603003110613311洪昭晖勘查技术与工程770703000040713004陈远志管理科学与工程类790703000270713027王楠管理科学与工程类900703000970713097李力为管理科学与工程类780703001010713101林立管理科学与工程类840703001030713103林仁聪管理科学与工程类880703001230713123吴元焰管理科学与工程类830703001270713127杨易管理科学与工程类770703001280713128叶海磊管理科学与工程类770703001370713137朱堃伟管理科学与工程类760703001660713166吴怀庵管理科学与工程类840703001670713167吴鹏宇管理科学与工程类750703001810713181朱盼超管理科学与工程类770703003910713391白丽仙教改综合班800703005160713516李周欣经济学类860703005900713590林永熙经济学类850703005990713599宁野村经济学类780703006100713610严志钊经济学类790703007180713718赵致远教改综合班760703007320713732董扬教改综合班880703008010713801苏立维经济学类800703009080713908董拓统计学820703009140713914林佳元统计学770703009300713930颜若荣统计学960803002070813207程典生物工程类940803002120813212闵道凯生物工程类750803004150813415洪东升包装工程850803004170813417游远扬包装工程820803004330813433于雪包装工程770903002130913213朱剑峰英语840903003110913311郭琦玮英语780903005080913508刘剑平日语750903006200913620柯晟日语851103001231113123陈云龙信息工程类871103001411113141郑瀚信息工程类841103002211113221林燕腾信息工程类881103002451113245陈雪春信息工程类871103003011113301陈昶信息工程类771103003071113307王登坡信息工程类861103003081113308林煦信息工程类841103003161113316周黄山信息工程类851103004241113424李舒信息工程类811103007041113704熊伟电子科学与技术912003001162013116黄子达临床医学892303001032313103李金阳行政管理832303001082313108方圆行政管理802303002182313218柳培基行政管理752303002282313228林传伟行政管理812903002262913226严林社会学77,[]
关于旗山校区教学注意事项的通知,综合科,2003-10-08,https://jwch.fzu.edu.cn/info/1035/7960.htm,各院系：新校区第一天上课的反馈情况表明，教学秩序基本正常，但也存在一些问题：个别院系未将上课安排及时通知到有关老师和学生；有的教师私自合班上课；有的教师未到位；发现个别教师不会使用多媒体设备和语音室设备等。为确保新校区教学秩序正常运行，特将有关事项重申如下：1.各院系应再次落实新校区上课的具体安排，并将作息时间（含校车发车情况）告知有关教师。2.有关新校区的教务意见、建议、课程变动或需借用扩音设备等均向新校区教务办联系（322房，电话：2866866）3.建议在新校区上课的教师提前半天到位熟悉环境；有需要使用多媒体设备的还应及时提前与302房多媒体控制中心联系，熟悉有关设备的使用（附“多媒体教室使用须知”）教务处2003.10.8附新校区（文科楼）多媒体教室使用须知1．	用多媒体设备的教师需提前10分钟到302房间登记，领取讲台的钥匙、投影机遥控器、无线话筒。2．	上课时用钥匙打开讲台的所有门。3．	打开讲台下电源插座的总开关。4．	开启计算机电源。5．	放下电动屏幕。6．	用遥控器开启投影机的光源。7．	开启无线扩音机以及无线话筒的电源并调整音量。梯形教室若有需要可开启大功率扩音机的电源调节音量。8．	上课结束时，首先用遥控器关掉投影机的光源！！！而后退出计算机。9．	升起电动屏幕。上述程序全部完成后，才能关掉电源插座的总电源。,[]
关于旗山校区教学时间安排的通知,综合科,2003-09-27,https://jwch.fzu.edu.cn/info/1035/7958.htm,关于新校区教学时间安排的通知校教字（2003） 67号各学院、各单位：根据校办（2003）9号文件精神，现将新校区教学时间作如下安排，请及时通知到有关教师及学生，以保证教学秩序正常进行。附：新校区教学时间安排表。上              午预备铃： 8：00第一节课，8：20---9：05；     9：05---9：15课间休息第二节课，9：15---10：00；    10：00---10：20课间操第三节课，10：20---11：05；    11：05---11：15课间休息第四节课，11：15---12：00下              午预备铃： 1：40第一节课，2：00---2：45；     2：45---2：55课间休息第二节课，2：55---3：40；     3：40---3：50课间休息第三节课，3：50---4：35；     4：35---4：45课间休息第四节课，4：45---5：30教 务 处2003年9月27日,[]
关于召开2003年全国大学生电子设计竞赛参赛队员会议的通知,综合科,2003-09-08,https://jwch.fzu.edu.cn/info/1035/7956.htm,校教（2003）55 号2003年全国大学生电子设计竞赛将于2003年9月15日8:00——9月18日20：00举行。为了做好参赛的有关工作，定于9月9日（星期二）晚7：00在物理南楼物梯教室召开2003年全国大学生电子设计竞赛参赛队员会议。会议内容：传达全国大学生电子设计竞赛组织工作会议情况及命题有关事项介绍。关于竞赛规则和注意事项。我校参赛的有关安排等。请福州大学2003年全国大学生电子设计竞赛领导小组成员、信息学院、电气学院、机械学院、工程技术学院全体参赛队员和教练员准时参加。教务处福州大学2003年全国大学生电子设计竞赛领导小组2003年9月8日,[]
关于举办福州大学第三届“大学生物理实验竞赛”的通知,综合科,2003-09-05,https://jwch.fzu.edu.cn/info/1035/7954.htm,校教（2003）52号各院系、各班级：为提高我校理工科学生的实验技能，增强动手能力，活跃基础教学，我校将开展第三届“大学生物理实验竞赛”活动。具体事项通知如下：一．参加对象我校00级、01级、02级大学物理实验成绩良好以上的在校学生。二．报名方法、时间、地点.1.报名方法采用学生自愿报名与实验室推荐相结合的办法。2.报名地点：大学物理教研室（物理北楼二楼）3.报名时间：12—13周（11月10—11月20日）三．竞赛安排竞赛安排在本学期的16周进行，赛程分预赛和决赛。1、预赛：采取笔试方式，于12月6 日 上午8：30至10：30进行。主要考核参赛选手的物理实验基本知识、基本操作技能以及初步设计实验的能力。根据考试成绩择优产生决赛人选。2、决赛：采用动手操作考核方式，于12月13 日8：30至12：00进行。参加决赛选手轮转参加三道题的操作考试，其内容为小型设计性、综合性物理实验(主要为：力学、电学、光学)。为了方便参赛选手的赛前准备，我校大学物理实验室将于第15周的周四、周五晚上7：00—9：30为参赛学生开放实验室，并配备教师答疑。四．奖励办法根据决赛成绩确定名次。初步确定取一等奖 5 名、二等奖 10 名、三等奖 15 名，由学校颁发获奖证书。主办：校  教  务  处承办：大学物理实验室2003年9 月5 日,[]
福州大学第二届非计算机专业程序设计竞赛获奖名单,综合科,2003-05-26,https://jwch.fzu.edu.cn/info/1035/7953.htm,校教（2003）35 号由我校信息学院计算机系承办的我校第二届非计算机专业程序设计竞赛已于5月11日圆满结束。现将第二届程序设计竞赛的获奖名单公布如下：一等奖（ 3人）：庄  重   陈琰表    黄  宇二等奖（ 5人）：邓文涛   邱喆彬    陈奎忠   刘高歌   黄迎辉三等奖（12人）：邱  敏   张观火    林后生   刘宇航   吴天亮叶  欣   林如阳    薛建宁   柯学标   柯清河黄伯群   杨  亮优秀组织奖：数学系  信息学院   材料学院发奖时间另行通知。主办单位：校教务处、学生处承办单位：信息学院计算机系基础教研室2003年5月,[]
关于本科生科研实践训练项目结题通知,综合科,2003-05-19,https://jwch.fzu.edu.cn/info/1035/7952.htm,校教（2003）33  号各院系：为了提高本科生创新精神和实践能力，我校已于2001年开始启动第一、二批本科生科研实践训练立项工作。根据教字（2001）50号[关于福州大学本科生科研实践训练计划实施细则（试行）的通知]文件精神，项目的执行时间原则上为半年至一年。针对这两批立项中有部分项目已进入结题阶段，特别是99级的学生即将毕业，现通知如下：一．凡是99级的学生一律要在03年6月中旬之前上报结题[结题内容：1．填好工作总结表（在教务处下载专区下载表格）；2．有实物成果的要有照片或提交实物；3．其他内容(如对外发表论文，刊物，申请专利等) ]，交教务处实践科。提交方式：将所有结题内容归结为书面一套、光盘一套提交。二．非99级申请的项目若做好的也可上报结题（要求同上），交教务处实践科。三．希望有指导学生立项的教师要负责协助学生做好上报项目结题工作，对已立项但未尽到职责的指导教师，将取消下年度申报资格。请各院系分管实践工作的教学干事见本文后，负责通知到立项申请人（教师或学生），以便我们做好项目的验收管理工作。教务处二ΟΟ三年五月十六日,[]
关于近期在外地实习的申报通知,综合科,2003-05-15,https://jwch.fzu.edu.cn/info/1035/7950.htm,各院系：为进一步落实《关于高等学校非典型肺炎预防和控制综合措施的通知》，确保我校在外地实习师生的健康安全和有效防止交叉感染，请各院系在5月20日之前将近期在外地实习的非毕业班学生实习安排上报教务处实践科。教务处2003.05.15,[]
